Index,Filename,AVG CPU Cycles / ms,AVG MEM Changes / ms,AVG Wattage,Length of observation period,AVG Raleway Load Time,AVG Montserrat Load Time,AVG SourceSans Load Time
0,input/OTF\Firefox 2023-05-21 15.27 profile(1).json,31994640,1709.6699029126214,0.0030883916669999997,200.011,114.584,151.253,154.196
1,input/OTF\Firefox 2023-05-21 15.27 profile.json,31330689,1857.0,0.003256404167,206.398,119.054,141.822,162.739
2,input/OTF\Firefox 2023-05-21 15.28 profile(1).json,32587170,2947.3636363636365,0.002879045833,182.897,102.765,121.209,135.836
3,input/OTF\Firefox 2023-05-21 15.28 profile(2).json,31803363,1800.0,0.002892616667,198.212,113.024,141.661,152.728
4,input/OTF\Firefox 2023-05-21 15.28 profile.json,32414948,3309.6629213483147,0.002713270833,183.203,114.653,134.134,151.954
5,input/OTF\Firefox 2023-05-21 15.29 profile(1).json,31334976,2037.5833333333333,0.002589525,194.795,110.871,147.556,150.126
6,input/OTF\Firefox 2023-05-21 15.30 profile(1).json,32658068,2567.843137254902,0.00323975,197.459,108.676,127.674,149.774
7,input/OTF\Firefox 2023-05-21 15.30 profile(2).json,32480368,2089.2631578947367,0.002850704167,186.565,103.947,139.253,145.089
8,input/OTF\Firefox 2023-05-21 15.30 profile.json,31119673,2552.6222222222223,0.003040133333,193.254,111.593,137.469,147.162
9,input/OTF\Firefox 2023-05-21 15.31 profile(1).json,32533182,2505.723756906077,0.0031431875,187.765,109.782,118.943,144.508
10,input/OTF\Firefox 2023-05-21 15.31 profile.json,31567746,2184.872037914692,0.003342729166,208.428,115.552,147.987,165.628
11,input/OTF\Firefox 2023-05-21 15.32 profile(1).json,31916162,2094.9126213592235,0.003507858333,216.552,117.253,160.962,169.73
12,input/OTF\Firefox 2023-05-21 15.32 profile(2).json,34202707,2327.5,0.003682083333,238.489,166.732,179.748,206.126
13,input/OTF\Firefox 2023-05-21 15.33 profile(1).json,32574946,2077.6326530612246,0.0033078083329999997,220.049,133.831,173.449,176.569
14,input/OTF\Firefox 2023-05-21 15.33 profile.json,33302671,2218.25,0.002691845833,184.419,116.704,136.686,139.133
15,input/OTF\Firefox 2023-05-21 15.34 profile(1).json,32267809,1921.8086956521738,0.003470845834,224.905,147.634,171.158,180.109
16,input/OTF\Firefox 2023-05-21 15.35 profile(1).json,31969326,1972.1348314606741,0.0028400083339999997,187.121,107.449,139.447,144.987
17,input/OTF\Firefox 2023-05-21 15.35 profile(2).json,34142778,2351.92039800995,0.0031853124999999998,197.144,103.985,125.285,149.678
18,input/OTF\Firefox 2023-05-21 15.35 profile.json,32104684,2207.3435897435897,0.003093920834,187.475,110.885,135.26,147.43
19,input/OTF\Firefox 2023-05-21 15.36 profile(1).json,34057458,1891.3160621761658,0.00280985,180.48,104.083,124.506,142.183
20,input/OTF\Firefox 2023-05-21 15.36 profile.json,32413002,2095.25,0.00315835,193.017,110.687,129.871,149.524
21,input/OTF\Firefox 2023-05-21 15.37 profile(1).json,32610677,1441.578475336323,0.003087695833,197.96,105.579,143.569,149.063
22,input/OTF\Firefox 2023-05-21 15.37 profile(2).json,32203808,1983.909090909091,0.003062325,188.969,118.938,137.897,149.949
23,input/OTF\Firefox 2023-05-21 15.37 profile.json,33326836,2156.32,0.0031494125,198.998,107.201,140.693,154.093
24,input/OTF\Firefox 2023-05-21 15.38 profile.json,33000431,2745.021276595745,0.0030857874999999997,199.446,120.018,136.859,153.883
25,input/OTF\Firefox 2023-05-21 15.39 profile(1).json,32197209,2249.896907216495,0.002897404167,191.564,116.019,144.889,158.829
26,input/OTF\Firefox 2023-05-21 15.39 profile(2).json,33502231,2277.938144329897,0.002883391667,183.38,106.635,130.004,142.058
27,input/OTF\Firefox 2023-05-21 15.39 profile.json,32805789,1633.8162162162162,0.002529879167,171.021,98.641,120.985,132.906
28,input/OTF\Firefox 2023-05-21 15.40 profile.json,32981196,2535.6190476190477,0.003027945833,189.97,107.144,134.423,145.22
29,input/OTF\Firefox 2023-05-21 15.41 profile(1).json,32441917,2765.814207650273,0.003226683334,202.839,120.297,147.032,159.5
