Index,Filename,AVG CPU Cycles / ms,AVG MEM Changes / ms,AVG Wattage,Length of observation period,AVG Raleway Load Time,AVG Montserrat Load Time,AVG SourceSans Load Time
0,input/TTF\Firefox 2023-05-22 17.33 profile(1).json,31337279,2076.4528301886794,0.003662016667,217.94,130.038,176.701,175.977
1,input/TTF\Firefox 2023-05-22 17.33 profile(2).json,31918550,2740.1846153846154,0.003160395833,213.058,126.384,155.836,172.962
2,input/TTF\Firefox 2023-05-22 17.33 profile.json,29237225,2411.339805825243,0.003750395833,225.278,144.752,183.05,191.017
3,input/TTF\Firefox 2023-05-22 17.34 profile(1).json,30491727,2735.8333333333335,0.003280554167,208.181,142.552,152.853,170.187
4,input/TTF\Firefox 2023-05-22 17.34 profile.json,32438547,2627.4747474747473,0.003101758333,219.636,122.703,173.885,173.709
5,input/TTF\Firefox 2023-05-22 17.35 profile(1).json,31574179,3450.818181818182,0.0033356958329999998,208.523,131.136,170.604,167.955
6,input/TTF\Firefox 2023-05-22 17.35 profile(2).json,33560666,3057.2043010752686,0.0030247875,195.842,121.587,146.628,160.072
7,input/TTF\Firefox 2023-05-22 17.35 profile.json,34042115,1942.7857142857142,0.0036607625,224.23,127.013,165.484,186.118
8,input/TTF\Firefox 2023-05-22 17.36 profile(1).json,32822854,1724.2898550724638,0.003281575,210.948,130.817,163.291,173.235
9,input/TTF\Firefox 2023-05-22 17.36 profile.json,31956449,2766.6666666666665,0.0034402,216.909,135.684,165.0,175.154
10,input/TTF\Firefox 2023-05-22 17.37 profile(1).json,32072154,3149.4300518134714,0.003173204167,208.512,137.357,148.823,167.828
11,input/TTF\Firefox 2023-05-22 17.37 profile(2).json,31663252,2279.304347826087,0.003120216666,199.615,112.633,156.782,159.98
12,input/TTF\Firefox 2023-05-22 17.37 profile.json,32265791,3157.04,0.003347570833,216.885,143.838,167.311,176.727
13,input/TTF\Firefox 2023-05-22 17.38 profile(1).json,32071090,2868.1846153846154,0.003305558334,217.839,148.461,161.547,183.413
14,input/TTF\Firefox 2023-05-22 17.38 profile.json,33517777,2627.037037037037,0.003533175,219.777,137.299,156.758,181.837
15,input/TTF\Firefox 2023-05-22 17.39 profile(1).json,32655665,2682.0853080568722,0.00342195,221.605,144.761,181.32,178.707
16,input/TTF\Firefox 2023-05-22 17.39 profile(2).json,31645464,3281.1304347826085,0.003204295834,204.519,145.181,166.427,162.862
17,input/TTF\Firefox 2023-05-22 17.39 profile.json,31836022,1798.1538461538462,0.003228533334,202.47,136.805,166.066,165.422
18,input/TTF\Firefox 2023-05-22 17.40 profile(1).json,34621144,2849.644859813084,0.0037038875,240.692,168.679,192.851,202.575
19,input/TTF\Firefox 2023-05-22 17.40 profile.json,33597124,2423.230769230769,0.003405008333,214.968,131.056,162.965,172.938
20,input/TTF\Firefox 2023-05-22 17.41 profile(1).json,31250623,3004.6763285024153,0.003144145833,204.722,130.697,148.64,165.948
21,input/TTF\Firefox 2023-05-22 17.41 profile(2).json,32481740,2462.910994764398,0.002810983333,194.784,119.306,152.479,156.331
22,input/TTF\Firefox 2023-05-22 17.41 profile.json,30839920,2765.291005291005,0.003136875,194.29,131.703,156.017,159.63
23,input/TTF\Firefox 2023-05-22 17.42 profile(1).json,33840741,3280.549019607843,0.003416045833,217.667,130.833,159.293,181.532
24,input/TTF\Firefox 2023-05-22 17.42 profile.json,31219282,2650.7243243243242,0.002871133333,210.849,153.559,170.428,169.793
25,input/TTF\Firefox 2023-05-22 17.43 profile(1).json,32660565,3238.43216080402,0.003290754166,212.911,137.267,164.702,178.024
26,input/TTF\Firefox 2023-05-22 17.43 profile(2).json,31764334,1388.538775510204,0.004117066667,279.019,212.793,252.145,244.134
27,input/TTF\Firefox 2023-05-22 17.43 profile.json,32632125,4401.2565445026175,0.003810716667,242.444,148.89,196.676,208.646
28,input/TTF\Firefox 2023-05-22 17.44 profile(1).json,36089864,2896.1592039800994,0.003289466667,207.408,132.722,170.388,170.425
29,input/TTF\Firefox 2023-05-22 17.44 profile(2).json,31306137,2136.3654822335025,0.003109883333,206.386,122.095,171.034,167.02
30,input/TTF\Firefox 2023-05-22 17.44 profile.json,33689978,2859.5433789954336,0.003635870833,228.896,143.589,169.752,189.52
31,input/TTF\Firefox 2023-05-22 17.45 profile(1).json,32360535,2507.1372549019607,0.003156375,204.69,116.483,155.221,164.733
32,input/TTF\Firefox 2023-05-22 17.45 profile.json,30760806,1549.771144278607,0.0034311,234.133,135.494,194.121,194.078
33,input/TTF\Firefox 2023-05-22 17.46 profile(1).json,32843261,1897.0873786407767,0.003346616667,206.528,140.975,167.572,167.525
34,input/TTF\Firefox 2023-05-22 17.46 profile(2).json,32585095,2155.7853658536587,0.003633991666,232.938,172.354,188.056,190.575
35,input/TTF\Firefox 2023-05-22 17.46 profile.json,31494574,2260.0,0.0034142,225.401,146.32,182.499,185.655
36,input/TTF\Firefox 2023-05-22 17.47 profile(1).json,32178215,2956.1129943502824,0.00335285,212.556,143.318,171.362,178.204
37,input/TTF\Firefox 2023-05-22 17.47 profile.json,32547113,1801.3980582524273,0.0031786208339999998,203.836,134.315,166.281,166.432
38,input/TTF\Firefox 2023-05-22 17.48 profile(1).json,31705984,2926.3478260869565,0.003231520834,212.269,129.662,161.905,171.407
39,input/TTF\Firefox 2023-05-22 17.48 profile(2).json,31887150,3284.169696969697,0.0034103375,212.686,130.346,175.466,173.116
40,input/TTF\Firefox 2023-05-22 17.48 profile.json,34286115,3374.1083743842364,0.0035561625,230.608,134.749,172.491,194.54
41,input/TTF\Firefox 2023-05-22 17.49 profile(1).json,31600070,2541.4564102564104,0.0036015291669999998,230.386,139.07,186.986,189.364
42,input/TTF\Firefox 2023-05-22 17.49 profile.json,33654845,2028.4285714285713,0.003573104167,226.892,137.831,162.789,192.771
43,input/TTF\Firefox 2023-05-22 17.50 profile(1).json,31381328,3414.6236559139784,0.0034799875,220.701,135.748,182.19,184.137
44,input/TTF\Firefox 2023-05-22 17.50 profile(2).json,30201712,3096.3934426229507,0.003249545834,204.087,114.461,165.585,163.559
45,input/TTF\Firefox 2023-05-22 17.50 profile.json,32945021,2346.5284974093265,0.0032045249999999997,210.081,125.097,168.735,169.167
46,input/TTF\Firefox 2023-05-22 17.51 profile(1).json,33822551,2643.6984924623116,0.003126495833,194.081,120.792,142.561,157.764
47,input/TTF\Firefox 2023-05-22 17.51 profile.json,34206857,3086.5608465608466,0.003348720833,209.382,138.51,168.395,174.758
48,input/TTF\Firefox 2023-05-22 17.52 profile(1).json,31199278,2882.4166666666665,0.003083020834,201.179,122.082,161.377,161.276
49,input/TTF\Firefox 2023-05-22 17.52 profile(2).json,32357786,2998.190954773869,0.003097754167,213.741,136.859,176.908,176.585
50,input/TTF\Firefox 2023-05-22 17.52 profile.json,33264298,3193.3930348258705,0.0034861541669999998,216.625,133.055,159.72,175.586
51,input/TTF\Firefox 2023-05-22 17.53 profile(1).json,31589351,2673.194029850746,0.0031282333329999998,207.006,142.66,164.686,167.881
52,input/TTF\Firefox 2023-05-22 17.53 profile.json,33003512,2866.723404255319,0.003169433333,210.353,127.412,167.755,173.043
53,input/TTF\Firefox 2023-05-22 17.54 profile(1).json,31341252,2247.294117647059,0.00323025,205.034,136.732,166.009,167.938
54,input/TTF\Firefox 2023-05-22 17.54 profile(2).json,31220481,2210.818652849741,0.003146866667,205.278,139.655,174.689,175.126
55,input/TTF\Firefox 2023-05-22 17.54 profile.json,31208279,2016.6701570680627,0.003062270833,209.178,140.79,170.19,168.513
56,input/TTF\Firefox 2023-05-22 17.55 profile(1).json,31781720,3876.85393258427,0.0034370125,205.463,132.217,166.88,168.648
57,input/TTF\Firefox 2023-05-22 17.55 profile.json,33365024,2414.247619047619,0.0034534416659999997,213.472,136.739,176.758,175.929
58,input/TTF\Firefox 2023-05-22 17.56 profile(1).json,32795569,3052.108108108108,0.003308770834,213.154,136.951,168.038,177.828
59,input/TTF\Firefox 2023-05-22 17.56 profile(2).json,31038837,3526.2795698924733,0.002909208334,186.015,119.348,154.59,155.315
60,input/TTF\Firefox 2023-05-22 17.56 profile.json,32226225,3860.583783783784,0.002985175,209.637,135.223,158.72,175.739
61,input/TTF\Firefox 2023-05-22 17.57 profile(1).json,32054537,2213.094527363184,0.0031525791669999997,216.691,151.116,177.191,186.841
62,input/TTF\Firefox 2023-05-22 17.57 profile.json,31447329,2968.6666666666665,0.003332295833,207.609,122.979,165.84,170.708
63,input/TTF\Firefox 2023-05-22 17.58 profile(1).json,31719677,2406.074074074074,0.0035138083329999997,215.872,128.677,180.498,179.496
64,input/TTF\Firefox 2023-05-22 17.58 profile(2).json,31675393,2176.306220095694,0.0032700999999999997,219.152,143.061,175.778,175.076
65,input/TTF\Firefox 2023-05-22 17.58 profile.json,31524976,2460.2061855670104,0.0031021875,200.157,132.949,163.473,162.753
66,input/TTF\Firefox 2023-05-22 17.59 profile(1).json,31535788,2949.1134020618556,0.003244054167,208.07,135.925,159.579,167.685
67,input/TTF\Firefox 2023-05-22 17.59 profile.json,31854261,3274.8333333333335,0.003276341666,210.804,141.415,163.948,170.804
68,input/TTF\Firefox 2023-05-22 18.00 profile(1).json,31344770,2886.5185185185187,0.003236883333,218.115,124.645,180.32,180.245
69,input/TTF\Firefox 2023-05-22 18.00 profile(2).json,32165633,3246.2311557788944,0.0033767124999999998,207.529,125.744,159.399,168.828
70,input/TTF\Firefox 2023-05-22 18.00 profile.json,30926260,1870.6985645933014,0.003165441667,201.006,133.571,171.225,171.13
71,input/TTF\Firefox 2023-05-22 18.01 profile(1).json,31874401,2923.2842105263157,0.0031271874999999998,201.035,131.826,158.276,166.897
72,input/TTF\Firefox 2023-05-22 18.01 profile.json,32858149,2378.425339366516,0.003503425,229.648,143.325,188.488,187.793
