Index,Filename,AVG CPU Cycles / ms,AVG MEM Changes / ms,AVG Wattage,Length of observation period,AVG Raleway Load Time,AVG Montserrat Load Time,AVG SourceSans Load Time
0,input/WOFF\Firefox 2023-05-21 20.08 profile.json,27929064,4126.775956284153,0.002826979167,181.689,90.627,114.38,138.809
1,input/WOFF\Firefox 2023-05-21 20.09 profile(1).json,28687536,6534.0952380952385,0.002782791667,169.218,95.138,109.702,125.657
2,input/WOFF\Firefox 2023-05-21 20.09 profile.json,27580342,3318.5251396648046,0.002607854167,174.63,117.807,125.644,138.232
3,input/WOFF\Firefox 2023-05-21 20.10 profile(1).json,30299753,5173.6,0.002533416667,178.481,111.231,122.764,138.351
4,input/WOFF\Firefox 2023-05-21 20.10 profile.json,28178005,7998.471337579618,0.0026637958329999998,168.755,99.897,110.362,123.152
5,input/WOFF\Firefox 2023-05-21 20.11 profile(1).json,29594878,5404.689655172414,0.002641854167,162.355,99.923,108.739,131.784
6,input/WOFF\Firefox 2023-05-21 20.11 profile.json,27784373,3880.5714285714284,0.002839758333,179.279,117.234,126.598,137.726
7,input/WOFF\Firefox 2023-05-21 20.12 profile(1).json,29593630,6700.240963855422,0.0027112583329999998,173.747,91.011,121.689,134.876
8,input/WOFF\Firefox 2023-05-21 20.12 profile(2).json,29854586,3612.0,0.0025463625,166.202,87.283,121.276,131.395
9,input/WOFF\Firefox 2023-05-21 20.12 profile.json,28948710,6487.763313609467,0.002655,169.574,90.413,110.219,125.21
10,input/WOFF\Firefox 2023-05-21 20.13 profile(1).json,28701390,5032.546583850932,0.002247029166,166.894,104.441,120.417,129.875
11,input/WOFF\Firefox 2023-05-21 20.14 profile(1).json,27704125,5460.049382716049,0.0027794916669999998,176.656,98.447,124.746,137.452
12,input/WOFF\Firefox 2023-05-21 20.14 profile(2).json,30255571,5606.945054945055,0.002880408333,177.601,99.255,115.771,138.834
13,input/WOFF\Firefox 2023-05-21 20.14 profile.json,29130474,3442.4406779661017,0.002712975,178.122,109.446,126.986,136.765
14,input/WOFF\Firefox 2023-05-21 20.15 profile(1).json,28972756,10621.31543624161,0.003111208333,196.04,128.532,137.984,157.562
15,input/WOFF\Firefox 2023-05-21 20.15 profile.json,27986527,8182.024691358025,0.002715895833,168.765,105.769,111.418,126.525
16,input/WOFF\Firefox 2023-05-21 20.16 profile(1).json,29471162,8835.7,0.002751470834,173.763,102.524,122.485,133.142
17,input/WOFF\Firefox 2023-05-21 20.16 profile(2).json,28768943,4489.217391304348,0.002917229167,195.145,132.366,139.365,156.199
18,input/WOFF\Firefox 2023-05-21 20.16 profile.json,29084265,7131.636363636364,0.0028730083339999998,185.969,91.148,125.386,142.763
19,input/WOFF\Firefox 2023-05-21 20.17 profile(1).json,28533568,5073.254901960784,0.0027292125,168.351,103.61,111.478,125.631
20,input/WOFF\Firefox 2023-05-21 20.17 profile.json,28318382,4660.137931034483,0.002931270833,180.105,92.103,131.128,141.143
21,input/WOFF\Firefox 2023-05-21 20.18 profile(2).json,28636918,6775.0,0.0025222375,165.011,99.883,115.23,125.506
22,input/WOFF\Firefox 2023-05-21 20.18 profile.json,29181524,7295.90303030303,0.0028128,171.407,92.55,110.487,123.388
23,input/WOFF\Firefox 2023-05-21 20.19 profile(1).json,29082834,9320.421052631578,0.0026572875,164.172,97.202,112.751,124.842
24,input/WOFF\Firefox 2023-05-21 20.19 profile.json,28460247,6287.558620689655,0.002266408334,153.528,99.641,114.794,124.147
25,input/WOFF\Firefox 2023-05-21 20.20 profile(1).json,28535609,6600.138728323699,0.002788291667,176.7,84.585,120.799,137.825
26,input/WOFF\Firefox 2023-05-21 20.20 profile(2).json,28523933,5793.85635359116,0.002837816667,180.092,107.212,127.609,137.062
27,input/WOFF\Firefox 2023-05-21 20.20 profile.json,28755034,6425.815950920245,0.003905783333,250.057,99.199,166.486,206.364
28,input/WOFF\Firefox 2023-05-21 20.21 profile(1).json,27470903,3716.137931034483,0.0030919458329999997,197.041,102.919,152.055,154.792
29,input/WOFF\Firefox 2023-05-21 20.21 profile.json,29771372,4777.341040462427,0.002815583333,175.137,101.11,132.281,136.006
30,input/WOFF\Firefox 2023-05-21 20.22 profile(1).json,28708163,6030.347826086957,0.0032786625,202.718,132.91,148.429,164.151
31,input/WOFF\Firefox 2023-05-21 20.22 profile(2).json,29111232,8867.27485380117,0.003033433333,190.099,98.406,133.06,146.932
32,input/WOFF\Firefox 2023-05-21 20.22 profile.json,26852718,4591.625730994152,0.00255375,160.659,90.834,108.113,114.692
33,input/WOFF\Firefox 2023-05-21 20.23 profile(1).json,27945348,5521.192546583851,0.0032256375,195.874,119.058,135.906,154.792
34,input/WOFF\Firefox 2023-05-21 20.23 profile(2).json,27177887,7929.710344827587,0.002667154167,172.064,107.226,114.601,131.211
35,input/WOFF\Firefox 2023-05-21 20.23 profile.json,28109868,11511.384615384615,0.002812483334,173.013,112.51,113.308,129.867
36,input/WOFF\Firefox 2023-05-21 20.24 profile.json,29203557,7421.633136094674,0.002768983333,175.949,109.736,126.991,134.282
37,input/WOFF\Firefox 2023-05-21 20.25 profile(1).json,28016957,7348.449704142012,0.002493445833,169.988,100.752,116.873,131.482
38,input/WOFF\Firefox 2023-05-21 20.25 profile(2).json,26741608,4709.748502994012,0.0029206125,184.96,120.507,133.519,142.053
39,input/WOFF\Firefox 2023-05-21 20.25 profile.json,27023282,6651.037974683544,0.002185191667,164.991,90.45,109.851,118.256
40,input/WOFF\Firefox 2023-05-21 20.26 profile(1).json,28512038,9392.0,0.0023679125,163.524,104.065,111.744,122.561
41,input/WOFF\Firefox 2023-05-21 20.26 profile.json,29258487,10787.157894736842,0.002432366667,165.187,95.121,116.15,125.349
42,input/WOFF\Firefox 2023-05-21 20.27 profile(1).json,28987820,6971.484662576687,0.002709329167,165.582,107.33,121.904,125.727
43,input/WOFF\Firefox 2023-05-21 20.27 profile(2).json,29192257,4802.892655367232,0.002959816667,171.02,104.744,124.118,132.259
44,input/WOFF\Firefox 2023-05-21 20.27 profile.json,28065133,7498.538922155689,0.00273055,166.048,95.335,116.091,121.406
45,input/WOFF\Firefox 2023-05-21 20.28 profile(1).json,28513929,4472.236686390533,0.003342075,214.28,149.916,170.411,174.515
46,input/WOFF\Firefox 2023-05-21 20.28 profile.json,27613137,8124.3835616438355,0.003135316667,194.887,127.687,141.267,152.892
47,input/WOFF\Firefox 2023-05-21 20.29 profile(1).json,28009186,4938.699386503067,0.002736241667,171.444,110.795,123.969,131.334
48,input/WOFF\Firefox 2023-05-21 20.29 profile(2).json,27782964,4520.911392405063,0.002697245834,168.327,105.433,119.678,125.064
49,input/WOFF\Firefox 2023-05-21 20.29 profile.json,28635794,8231.720930232557,0.002626820833,185.686,114.862,126.555,141.434
50,input/WOFF\Firefox 2023-05-21 20.30 profile(1).json,29178146,5986.360655737705,0.0027196875,186.945,124.506,137.649,151.351
51,input/WOFF\Firefox 2023-05-21 20.30 profile.json,29635453,4778.10989010989,0.0029433375,181.451,102.589,118.065,140.407
52,input/WOFF\Firefox 2023-05-21 20.31 profile(1).json,29753386,3823.8288770053477,0.0031372375,197.981,120.269,143.494,156.879
53,input/WOFF\Firefox 2023-05-21 20.31 profile(2).json,30401638,5553.8983050847455,0.0028239666669999997,176.795,96.389,112.275,131.986
54,input/WOFF\Firefox 2023-05-21 20.31 profile.json,28398529,4788.494382022472,0.002933975,184.628,105.201,116.711,137.415
55,input/WOFF\Firefox 2023-05-21 20.32 profile(1).json,27321812,5158.457831325301,0.002778241667,193.474,116.248,144.583,151.615
56,input/WOFF\Firefox 2023-05-21 20.32 profile.json,27467505,5876.0,0.0026109958339999998,170.749,119.052,124.489,135.889
57,input/WOFF\Firefox 2023-05-21 20.33 profile(1).json,27766253,7636.025806451613,0.002455416666,169.718,107.879,123.333,141.085
58,input/WOFF\Firefox 2023-05-21 20.33 profile(2).json,28596562,8902.062111801242,0.002879629167,181.859,114.633,136.243,142.531
59,input/WOFF\Firefox 2023-05-21 20.33 profile.json,27967933,3970.070588235294,0.0028772875,175.71,95.027,126.281,134.264
60,input/WOFF\Firefox 2023-05-21 20.34 profile(1).json,28521566,10233.297297297297,0.002747595833,176.566,112.558,143.148,146.137
61,input/WOFF\Firefox 2023-05-21 20.34 profile.json,28487721,5865.5621301775145,0.002724275,171.422,91.834,124.008,131.212
62,input/WOFF\Firefox 2023-05-21 20.35 profile(1).json,26986863,8257.434482758621,0.0024064625,155.157,98.071,112.355,118.029
63,input/WOFF\Firefox 2023-05-21 20.35 profile(2).json,28438694,5621.652694610779,0.002784720833,175.152,114.319,118.181,138.084
64,input/WOFF\Firefox 2023-05-21 20.35 profile.json,29503121,6448.658823529412,0.0024862708339999998,166.691,102.25,116.237,123.085
65,input/WOFF\Firefox 2023-05-21 20.36 profile(1).json,28335606,8185.488372093023,0.002485829166,176.605,102.537,115.714,135.046
66,input/WOFF\Firefox 2023-05-21 20.36 profile.json,28891654,7341.7,0.0025652125,160.712,93.013,107.28,121.769
