Index,Filename,AVG CPU Cycles / ms,AVG MEM Changes / ms,AVG Wattage,Length of observation period,AVG Raleway Load Time,AVG Montserrat Load Time,AVG SourceSans Load Time
0,input/WOFF2\Firefox 2023-05-22 07.38 profile.json,26542892,7829.61038961039,0.002410208333,155.285,90.427,108.6,112.798
1,input/WOFF2\Firefox 2023-05-22 07.39 profile(1).json,29007707,4854.972067039106,0.003038866666,184.736,103.277,134.898,146.227
2,input/WOFF2\Firefox 2023-05-22 07.39 profile.json,27997257,5009.766871165644,0.002796475,177.023,80.378,114.71,135.041
3,input/WOFF2\Firefox 2023-05-22 07.40 profile(1).json,29607185,9560.736842105263,0.0024991625,157.216,94.755,109.219,113.414
4,input/WOFF2\Firefox 2023-05-22 07.40 profile.json,28243957,6649.290322580645,0.002724004167,160.881,85.732,100.228,115.715
5,input/WOFF2\Firefox 2023-05-22 07.41 profile(1).json,28074654,3774.6046511627906,0.0027101,169.793,79.596,123.626,126.169
6,input/WOFF2\Firefox 2023-05-22 07.41 profile.json,28253214,5738.278787878788,0.0026605,164.697,95.855,110.816,122.459
7,input/WOFF2\Firefox 2023-05-22 07.42 profile(1).json,27473546,6550.649350649351,0.002442129167,160.727,107.689,108.139,119.228
8,input/WOFF2\Firefox 2023-05-22 07.42 profile(2).json,28849376,6278.012738853503,0.002436625,156.459,86.444,97.247,110.926
9,input/WOFF2\Firefox 2023-05-22 07.42 profile.json,28783805,5973.396449704142,0.002613545834,157.822,82.142,102.419,114.514
10,input/WOFF2\Firefox 2023-05-22 07.43 profile(1).json,28387973,5470.2,0.002627070833,165.656,81.775,120.051,122.759
11,input/WOFF2\Firefox 2023-05-22 07.44 profile(1).json,26977789,6789.973333333333,0.002854404166,178.268,92.24,128.839,134.086
12,input/WOFF2\Firefox 2023-05-22 07.44 profile(2).json,30339779,2421.2881355932204,0.0039352625,239.356,119.59,161.766,198.368
13,input/WOFF2\Firefox 2023-05-22 07.44 profile.json,28020612,3308.8864864864863,0.003325058333,208.406,92.872,161.065,166.953
14,input/WOFF2\Firefox 2023-05-22 07.45 profile(1).json,26630638,6957.9034482758625,0.002567229167,155.896,99.106,109.241,110.749
15,input/WOFF2\Firefox 2023-05-22 07.45 profile.json,27290374,6485.042424242424,0.002703641666,159.873,91.322,105.317,118.79
16,input/WOFF2\Firefox 2023-05-22 07.46 profile(1).json,27588737,8498.981366459628,0.00241455,152.263,65.152,95.296,109.257
17,input/WOFF2\Firefox 2023-05-22 07.46 profile(2).json,27721154,6071.6,0.00277765,167.981,80.048,115.86,123.505
18,input/WOFF2\Firefox 2023-05-22 07.47 profile(1).json,28213618,8725.1,0.0025394625,152.161,75.398,104.213,113.136
19,input/WOFF2\Firefox 2023-05-22 07.47 profile.json,28513857,6448.0952380952385,0.002653845833,159.347,91.203,101.266,116.08
20,input/WOFF2\Firefox 2023-05-22 07.48 profile(1).json,27864143,6195.8,0.002539395833,157.207,85.129,103.747,110.226
21,input/WOFF2\Firefox 2023-05-22 07.48 profile(2).json,27090084,6026.333333333333,0.002402141666,161.313,94.966,102.337,114.284
22,input/WOFF2\Firefox 2023-05-22 07.48 profile.json,24654376,6734.786206896551,0.002666554167,164.699,99.349,109.073,114.64
23,input/WOFF2\Firefox 2023-05-22 07.49 profile.json,28831102,6342.054054054054,0.002532975,160.539,78.619,108.487,124.39
24,input/WOFF2\Firefox 2023-05-22 07.50 profile(1).json,27835602,5169.756097560976,0.002454375,157.526,98.644,108.299,117.457
25,input/WOFF2\Firefox 2023-05-22 07.50 profile.json,28833699,4284.46511627907,0.002667670834,157.75,75.561,101.177,113.276
